,Age,Gender,StudyHrs,Learning_Style,Courses_Comp,Discuss_Part,AssignRate,Exam_Score(%),AttendRate,TechUse,StressLevel,SocMediaHrs,SleepHrs,Equiv_Grade,College,Degree_Program
9223,24.0,Female,7.0,Kinesthetic,12.0,Yes,77.0,90.0,56.0,No,Low,27.0,6.0,3.965,Engineering,Electronic
9224,28.0,Male,8.0,Auditory,19.0,No,99.0,57.0,87.0,Yes,Medium,11.0,9.0,3.78,Engineering,Mechanical
9225,19.0,Female,6.0,Kinesthetic,1.0,No,76.0,47.0,91.0,No,High,14.0,9.0,3.225,Business and Finance,Entrepreneurship
9226,21.0,Female,43.0,Auditory,4.0,No,68.0,70.0,78.0,No,Medium,24.0,7.0,3.55,Business and Finance,Entrepreneurship
9227,20.0,Male,13.0,Kinesthetic,10.0,Yes,92.0,58.0,99.0,Yes,Medium,18.0,7.0,3.82,Engineering,Electronic
9228,28.0,Other,25.0,Visual,18.0,No,60.0,99.0,64.0,Yes,Medium,13.0,8.0,4.015,Business and Finance,Entrepreneurship
9229,25.0,Female,45.0,Visual,15.0,Yes,73.0,75.0,97.0,No,Medium,30.0,6.0,3.94,Business and Finance,Economics
9230,25.0,Female,17.0,Auditory,0.0,Yes,83.0,41.0,79.0,No,Low,3.0,6.0,3.06,Health Sciences,Pharmacy
9231,20.0,Female,48.0,Auditory,6.0,Yes,62.0,49.0,89.0,Yes,Medium,13.0,10.0,3.045,Business and Finance,Entrepreneurship
9232,28.0,Male,22.0,Reading/Writing,10.0,Yes,66.0,41.0,61.0,Yes,Low,13.0,5.0,2.625,Health Sciences,Pharmacy
9233,23.0,Female,46.0,Kinesthetic,5.0,Yes,87.0,76.0,69.0,No,Medium,27.0,5.0,3.895,Engineering,Electronic
9234,29.0,Female,23.0,Kinesthetic,16.0,No,90.0,90.0,58.0,Yes,Medium,22.0,10.0,4.18,Engineering,Mechanical
9235,28.0,Female,23.0,Auditory,8.0,No,54.0,61.0,53.0,Yes,Medium,20.0,4.0,2.865,Engineering,Electronic
9236,27.0,Male,12.0,Reading/Writing,18.0,Yes,55.0,83.0,89.0,Yes,Medium,9.0,5.0,3.79,Business and Finance,Economics
9237,27.0,Female,35.0,Kinesthetic,1.0,Yes,82.0,71.0,97.0,Yes,Medium,28.0,4.0,3.975,Business and Finance,Business Administration
9239,25.0,Male,36.0,Auditory,18.0,Yes,54.0,78.0,90.0,No,High,16.0,6.0,3.66,Health Sciences,Medical Technology
9240,22.0,Female,24.0,Kinesthetic,6.0,No,94.0,82.0,51.0,No,High,0.0,6.0,3.97,Health Sciences,Nursing
9241,23.0,Female,22.0,Reading/Writing,5.0,Yes,94.0,79.0,51.0,No,Medium,25.0,8.0,3.895,Health Sciences,Nursing
9242,19.0,Male,33.0,Auditory,1.0,Yes,79.0,53.0,90.0,Yes,Medium,7.0,10.0,3.41,Health Sciences,Medical Technology
9243,27.0,Male,36.0,Reading/Writing,1.0,No,69.0,79.0,89.0,Yes,Low,29.0,9.0,3.9,Engineering,Computer
9244,24.0,Male,6.0,Visual,15.0,Yes,54.0,41.0,66.0,No,Medium,2.0,6.0,2.495,Business and Finance,Business Administration
9245,19.0,Male,16.0,Reading/Writing,20.0,Yes,53.0,86.0,70.0,Yes,Medium,25.0,8.0,3.645,Health Sciences,Pharmacy
9246,22.0,Female,31.0,Visual,12.0,No,97.0,80.0,93.0,Yes,Medium,11.0,8.0,4.385,Health Sciences,Pharmacy
9247,24.0,Male,29.0,Kinesthetic,15.0,Yes,80.0,43.0,55.0,No,High,8.0,7.0,2.825,Health Sciences,Pharmacy
9248,25.0,Other,22.0,Kinesthetic,19.0,Yes,66.0,68.0,55.0,Yes,Medium,16.0,5.0,3.24,Health Sciences,Public Health
9249,18.0,Female,47.0,Visual,17.0,Yes,54.0,71.0,56.0,Yes,Low,17.0,5.0,3.145,Business and Finance,Economics
9250,24.0,Male,39.0,Visual,2.0,Yes,55.0,58.0,73.0,Yes,High,9.0,6.0,3.005,Business and Finance,Business Administration
9251,20.0,Male,38.0,Auditory,0.0,Yes,85.0,54.0,93.0,Yes,Medium,21.0,7.0,3.555,Health Sciences,Medical Technology
9252,18.0,Female,27.0,Visual,20.0,Yes,61.0,67.0,100.0,No,Medium,15.0,10.0,3.59,Engineering,Mechanical
9253,18.0,Female,9.0,Visual,18.0,Yes,77.0,77.0,97.0,No,Medium,28.0,10.0,4.05,Health Sciences,Public Health
9254,28.0,Male,7.0,Reading/Writing,17.0,No,94.0,77.0,60.0,No,Medium,0.0,7.0,3.935,Business and Finance,Entrepreneurship
9255,24.0,Male,12.0,Kinesthetic,6.0,No,87.0,81.0,54.0,No,Medium,17.0,10.0,3.87,Health Sciences,Medical Technology
9256,26.0,Male,48.0,Kinesthetic,14.0,No,79.0,71.0,94.0,Yes,Medium,17.0,6.0,3.9,Business and Finance,Entrepreneurship
9257,21.0,Female,44.0,Kinesthetic,5.0,No,93.0,53.0,59.0,Yes,Medium,24.0,8.0,3.31,Engineering,Computer
9258,28.0,Female,34.0,Auditory,8.0,No,52.0,53.0,98.0,Yes,High,2.0,5.0,3.085,Business and Finance,Accountancy
9259,29.0,Male,26.0,Visual,13.0,Yes,82.0,56.0,81.0,Yes,Low,25.0,9.0,3.44,Health Sciences,Nursing
9260,19.0,Male,11.0,Kinesthetic,15.0,No,71.0,70.0,67.0,Yes,Medium,16.0,8.0,3.485,Health Sciences,Medical Technology
9261,21.0,Female,20.0,Visual,12.0,Yes,53.0,72.0,54.0,No,Medium,26.0,10.0,3.135,Health Sciences,Nursing
9262,23.0,Male,32.0,Kinesthetic,9.0,No,70.0,75.0,86.0,Yes,Medium,18.0,4.0,3.785,Business and Finance,Entrepreneurship
9263,21.0,Male,22.0,Reading/Writing,1.0,No,70.0,50.0,88.0,Yes,Low,11.0,9.0,3.18,Engineering,Mechanical
9264,18.0,Male,22.0,Auditory,18.0,No,55.0,46.0,58.0,Yes,Low,8.0,8.0,2.555,Business and Finance,Economics
9265,26.0,Female,29.0,Reading/Writing,14.0,Yes,51.0,41.0,58.0,Yes,Medium,19.0,7.0,2.37,Business and Finance,Entrepreneurship
9266,28.0,Other,34.0,Kinesthetic,8.0,Yes,100.0,78.0,87.0,No,Low,24.0,10.0,4.32,Business and Finance,Entrepreneurship
9267,24.0,Male,8.0,Reading/Writing,19.0,No,70.0,49.0,76.0,No,High,30.0,7.0,3.035,Health Sciences,Public Health
9268,18.0,Female,19.0,Auditory,1.0,No,60.0,67.0,79.0,No,Medium,26.0,7.0,3.365,Engineering,Computer
9269,20.0,Female,41.0,Auditory,8.0,Yes,63.0,73.0,76.0,Yes,Low,1.0,4.0,3.53,Engineering,Computer
9270,21.0,Male,28.0,Visual,3.0,Yes,78.0,65.0,84.0,Yes,Low,5.0,9.0,3.635,Business and Finance,Accountancy
9271,26.0,Female,48.0,Visual,20.0,Yes,84.0,60.0,80.0,Yes,Medium,11.0,5.0,3.56,Business and Finance,Accountancy
9272,29.0,Other,16.0,Auditory,14.0,No,94.0,80.0,85.0,Yes,Low,18.0,7.0,4.26,Business and Finance,Accountancy
9273,25.0,Male,31.0,Auditory,13.0,Yes,86.0,43.0,98.0,No,Medium,23.0,5.0,3.345,Business and Finance,Accountancy
9274,27.0,Male,19.0,Reading/Writing,14.0,No,70.0,40.0,79.0,Yes,Low,15.0,7.0,2.84,Health Sciences,Nursing
9276,29.0,Male,6.0,Reading/Writing,3.0,Yes,95.0,93.0,100.0,No,Medium,20.0,6.0,4.75,Health Sciences,Nursing
9277,25.0,Female,46.0,Reading/Writing,6.0,Yes,56.0,47.0,60.0,Yes,High,7.0,8.0,2.615,Business and Finance,Business Administration
9278,18.0,Female,29.0,Visual,20.0,Yes,86.0,75.0,97.0,Yes,Medium,11.0,10.0,4.135,Business and Finance,Economics
9279,20.0,Female,21.0,Auditory,3.0,Yes,64.0,100.0,74.0,No,Low,13.0,5.0,4.2,Engineering,Mechanical
9280,18.0,Male,38.0,Kinesthetic,4.0,Yes,64.0,95.0,84.0,Yes,Medium,20.0,8.0,4.175,Engineering,Mechanical
9281,18.0,Female,14.0,Reading/Writing,20.0,Yes,67.0,69.0,77.0,Yes,Medium,16.0,10.0,3.5,Engineering,Electrical
9282,25.0,Female,36.0,Visual,6.0,Yes,99.0,60.0,74.0,Yes,Medium,15.0,8.0,3.725,Health Sciences,Nursing
9283,27.0,Male,12.0,Visual,18.0,Yes,90.0,57.0,72.0,Yes,High,29.0,9.0,3.495,Health Sciences,Medical Technology
9284,25.0,Male,14.0,Kinesthetic,20.0,No,100.0,65.0,59.0,Yes,Medium,8.0,4.0,3.715,Health Sciences,Nursing
9285,19.0,Male,6.0,Auditory,6.0,Yes,75.0,67.0,91.0,Yes,Low,20.0,9.0,3.71,Engineering,Computer
9286,25.0,Female,41.0,Kinesthetic,10.0,No,72.0,91.0,62.0,No,High,9.0,6.0,3.975,Engineering,Computer
9287,19.0,Male,37.0,Auditory,10.0,Yes,72.0,76.0,76.0,Yes,Medium,15.0,9.0,3.74,Engineering,Mechanical
9288,25.0,Female,41.0,Auditory,18.0,No,54.0,85.0,68.0,No,Low,26.0,6.0,3.615,Engineering,Computer
9289,20.0,Male,10.0,Reading/Writing,9.0,No,65.0,93.0,99.0,Yes,High,14.0,5.0,4.29,Health Sciences,Nursing
9290,22.0,Male,6.0,Kinesthetic,3.0,Yes,56.0,100.0,62.0,Yes,High,3.0,9.0,3.96,Business and Finance,Entrepreneurship
9291,20.0,Female,35.0,Reading/Writing,15.0,No,85.0,41.0,79.0,Yes,Medium,24.0,4.0,3.09,Health Sciences,Public Health
9292,28.0,Female,14.0,Kinesthetic,1.0,No,53.0,68.0,73.0,No,Medium,27.0,5.0,3.225,Business and Finance,Business Administration
9293,20.0,Female,40.0,Visual,0.0,No,75.0,40.0,75.0,Yes,Medium,7.0,6.0,2.875,Business and Finance,Business Administration
9294,23.0,Male,12.0,Reading/Writing,20.0,No,86.0,98.0,92.0,No,Low,14.0,6.0,4.66,Health Sciences,Public Health
9295,22.0,Female,42.0,Reading/Writing,7.0,Yes,72.0,59.0,58.0,Yes,Medium,9.0,8.0,3.135,Health Sciences,Medical Technology
9296,18.0,Male,26.0,Reading/Writing,20.0,No,93.0,52.0,65.0,Yes,Medium,19.0,10.0,3.345,Health Sciences,Public Health
9297,28.0,Female,22.0,Kinesthetic,18.0,Yes,59.0,76.0,68.0,Yes,High,8.0,10.0,3.465,Business and Finance,Accountancy
9298,18.0,Male,37.0,Visual,6.0,Yes,75.0,44.0,99.0,Yes,Medium,13.0,7.0,3.215,Engineering,Electrical
9299,18.0,Male,46.0,Visual,9.0,Yes,78.0,94.0,88.0,No,Medium,14.0,9.0,4.4,Engineering,Electrical
9300,29.0,Female,26.0,Visual,10.0,Yes,76.0,75.0,89.0,Yes,High,20.0,10.0,3.905,Health Sciences,Nursing
9301,25.0,Female,7.0,Visual,3.0,Yes,90.0,60.0,51.0,Yes,Low,4.0,8.0,3.36,Engineering,Electrical
9302,22.0,Male,31.0,Visual,4.0,No,51.0,45.0,79.0,Yes,High,0.0,5.0,2.68,Health Sciences,Public Health
9303,24.0,Female,27.0,Reading/Writing,11.0,Yes,93.0,40.0,66.0,Yes,Medium,29.0,9.0,3.055,Business and Finance,Economics
9304,28.0,Female,35.0,Visual,13.0,Yes,86.0,95.0,61.0,Yes,Medium,26.0,6.0,4.275,Health Sciences,Public Health
9305,25.0,Male,34.0,Visual,0.0,Yes,82.0,50.0,98.0,No,Low,29.0,4.0,3.46,Engineering,Mechanical
9306,24.0,Female,34.0,Reading/Writing,7.0,Yes,51.0,48.0,61.0,Yes,Low,23.0,6.0,2.575,Engineering,Mechanical
9307,21.0,Male,29.0,Kinesthetic,11.0,Yes,52.0,91.0,73.0,No,High,2.0,9.0,3.785,Engineering,Electrical
9308,25.0,Female,7.0,Visual,10.0,No,78.0,67.0,92.0,Yes,High,22.0,7.0,3.765,Business and Finance,Economics
9309,24.0,Female,49.0,Kinesthetic,1.0,Yes,81.0,53.0,58.0,Yes,High,21.0,8.0,3.12,Health Sciences,Public Health
9310,22.0,Male,8.0,Auditory,6.0,No,59.0,52.0,99.0,Yes,Medium,8.0,5.0,3.175,Health Sciences,Medical Technology
9311,27.0,Female,20.0,Reading/Writing,17.0,No,77.0,66.0,72.0,Yes,Medium,22.0,7.0,3.525,Business and Finance,Accountancy
9312,28.0,Female,30.0,Reading/Writing,2.0,No,79.0,96.0,50.0,Yes,Low,13.0,8.0,4.085,Engineering,Mechanical
9313,25.0,Male,16.0,Auditory,18.0,No,91.0,78.0,61.0,No,High,22.0,5.0,3.925,Health Sciences,Public Health
9314,20.0,Male,20.0,Reading/Writing,7.0,No,97.0,81.0,85.0,Yes,Low,28.0,10.0,4.33,Engineering,Computer
9315,28.0,Female,6.0,Reading/Writing,8.0,Yes,61.0,77.0,87.0,No,Low,22.0,10.0,3.71,Health Sciences,Nursing
9316,18.0,Male,49.0,Auditory,18.0,Yes,76.0,65.0,69.0,Yes,Low,12.0,6.0,3.455,Health Sciences,Nursing
9318,25.0,Female,22.0,Auditory,7.0,No,98.0,81.0,74.0,No,Medium,15.0,8.0,4.235,Business and Finance,Business Administration
9319,26.0,Other,35.0,Reading/Writing,2.0,Yes,88.0,57.0,68.0,No,Medium,22.0,8.0,3.425,Health Sciences,Pharmacy
9320,19.0,Male,18.0,Kinesthetic,0.0,No,80.0,61.0,52.0,Yes,High,28.0,9.0,3.245,Health Sciences,Nursing
9321,24.0,Male,49.0,Visual,15.0,Yes,61.0,46.0,55.0,No,High,4.0,8.0,2.615,Business and Finance,Accountancy
9322,28.0,Female,19.0,Reading/Writing,0.0,Yes,79.0,94.0,68.0,Yes,Medium,22.0,5.0,4.215,Business and Finance,Economics
9323,21.0,Female,20.0,Visual,0.0,Yes,85.0,53.0,60.0,Yes,Low,6.0,8.0,3.2,Business and Finance,Accountancy
9324,23.0,Male,25.0,Reading/Writing,6.0,Yes,82.0,81.0,84.0,Yes,Low,6.0,4.0,4.095,Engineering,Mechanical
9325,28.0,Male,26.0,Kinesthetic,18.0,Yes,77.0,65.0,72.0,No,Low,14.0,10.0,3.5,Engineering,Electronic
9326,25.0,Female,34.0,Auditory,8.0,No,89.0,89.0,93.0,Yes,Medium,17.0,6.0,4.49,Business and Finance,Accountancy
9327,24.0,Female,25.0,Auditory,7.0,Yes,75.0,78.0,70.0,No,High,6.0,10.0,3.775,Business and Finance,Accountancy
9328,26.0,Female,45.0,Auditory,17.0,Yes,73.0,57.0,92.0,Yes,Low,4.0,10.0,3.44,Health Sciences,Nursing
9329,19.0,Female,28.0,Auditory,3.0,Yes,52.0,40.0,78.0,Yes,Medium,16.0,7.0,2.56,Engineering,Computer
9330,27.0,Male,38.0,Visual,16.0,No,66.0,88.0,57.0,No,Low,12.0,10.0,3.76,Engineering,Computer
9331,18.0,Female,14.0,Visual,4.0,Yes,60.0,44.0,58.0,Yes,Medium,26.0,4.0,2.58,Health Sciences,Pharmacy
9332,24.0,Female,9.0,Reading/Writing,1.0,No,94.0,84.0,79.0,No,Low,19.0,4.0,4.3,Health Sciences,Public Health
9333,29.0,Male,23.0,Reading/Writing,10.0,Yes,92.0,41.0,66.0,Yes,High,10.0,10.0,3.065,Health Sciences,Nursing
9334,26.0,Female,15.0,Visual,7.0,Yes,65.0,46.0,69.0,Yes,Medium,2.0,4.0,2.815,Engineering,Mechanical
9336,24.0,Male,46.0,Kinesthetic,15.0,No,58.0,48.0,69.0,Yes,Low,8.0,10.0,2.76,Health Sciences,Nursing
9337,20.0,Female,49.0,Kinesthetic,1.0,Yes,94.0,50.0,55.0,Yes,High,13.0,10.0,3.21,Business and Finance,Accountancy
9338,23.0,Male,22.0,Visual,10.0,No,67.0,92.0,55.0,Yes,Medium,10.0,6.0,3.855,Business and Finance,Entrepreneurship
9339,19.0,Female,42.0,Auditory,6.0,Yes,71.0,59.0,94.0,No,Medium,16.0,9.0,3.48,Health Sciences,Public Health
9340,21.0,Female,35.0,Visual,20.0,Yes,98.0,48.0,56.0,Yes,Low,3.0,7.0,3.23,Engineering,Mechanical
9341,26.0,Female,28.0,Auditory,8.0,No,77.0,46.0,71.0,No,Medium,24.0,6.0,3.015,Engineering,Computer
9342,19.0,Female,18.0,Visual,4.0,Yes,73.0,48.0,83.0,No,Medium,5.0,6.0,3.125,Business and Finance,Economics
9343,18.0,Male,11.0,Auditory,6.0,No,52.0,93.0,70.0,No,Low,11.0,6.0,3.805,Health Sciences,Pharmacy
9344,25.0,Female,13.0,Reading/Writing,20.0,Yes,95.0,82.0,88.0,Yes,High,26.0,5.0,4.355,Health Sciences,Nursing
9345,19.0,Male,24.0,Visual,16.0,Yes,53.0,86.0,76.0,Yes,Medium,15.0,10.0,3.705,Engineering,Electrical
9346,29.0,Male,16.0,Auditory,13.0,No,61.0,56.0,64.0,Yes,Medium,30.0,5.0,2.955,Health Sciences,Public Health
9347,29.0,Other,11.0,Reading/Writing,4.0,No,87.0,84.0,91.0,Yes,High,0.0,5.0,4.315,Health Sciences,Pharmacy
9348,24.0,Male,33.0,Kinesthetic,11.0,Yes,92.0,76.0,95.0,Yes,Low,27.0,9.0,4.23,Business and Finance,Accountancy
9349,19.0,Male,24.0,Auditory,18.0,Yes,90.0,90.0,51.0,Yes,Medium,13.0,6.0,4.11,Business and Finance,Economics
9350,20.0,Female,47.0,Visual,8.0,Yes,74.0,41.0,54.0,No,Medium,22.0,6.0,2.675,Business and Finance,Business Administration
9351,25.0,Male,10.0,Kinesthetic,2.0,Yes,59.0,68.0,85.0,No,Medium,1.0,8.0,3.435,Engineering,Mechanical
9352,21.0,Male,11.0,Visual,4.0,No,86.0,63.0,72.0,No,Medium,17.0,4.0,3.585,Health Sciences,Pharmacy
9353,24.0,Male,38.0,Auditory,11.0,Yes,62.0,47.0,73.0,No,Low,17.0,5.0,2.835,Engineering,Electrical
9354,23.0,Female,47.0,Visual,10.0,No,64.0,73.0,98.0,Yes,Medium,4.0,4.0,3.765,Engineering,Electronic
9355,19.0,Female,36.0,Kinesthetic,20.0,Yes,60.0,40.0,93.0,No,Low,14.0,9.0,2.83,Business and Finance,Business Administration
9356,22.0,Female,25.0,Kinesthetic,14.0,No,60.0,54.0,52.0,Yes,Medium,0.0,5.0,2.77,Business and Finance,Accountancy
9357,29.0,Male,37.0,Kinesthetic,7.0,Yes,51.0,59.0,85.0,Yes,Medium,30.0,8.0,3.09,Business and Finance,Economics
9358,21.0,Male,45.0,Reading/Writing,15.0,No,94.0,57.0,73.0,Yes,Low,2.0,5.0,3.565,Health Sciences,Nursing
9359,23.0,Female,22.0,Visual,11.0,Yes,98.0,96.0,94.0,Yes,High,0.0,4.0,4.81,Engineering,Computer
9360,25.0,Female,21.0,Kinesthetic,4.0,Yes,95.0,85.0,73.0,Yes,Low,15.0,7.0,4.28,Engineering,Mechanical
9361,19.0,Male,20.0,Visual,2.0,Yes,60.0,55.0,100.0,Yes,Low,15.0,6.0,3.275,Engineering,Computer
9362,26.0,Female,5.0,Auditory,16.0,Yes,72.0,44.0,66.0,No,High,5.0,4.0,2.84,Business and Finance,Accountancy
9363,28.0,Female,13.0,Kinesthetic,18.0,Yes,75.0,53.0,85.0,No,Low,8.0,7.0,3.3,Engineering,Electrical
9364,18.0,Male,41.0,Visual,9.0,Yes,72.0,97.0,86.0,Yes,Medium,13.0,5.0,4.365,Business and Finance,Accountancy
9365,29.0,Female,18.0,Kinesthetic,6.0,Yes,99.0,50.0,50.0,Yes,Low,11.0,6.0,3.235,Engineering,Electronic
9366,21.0,Male,47.0,Kinesthetic,1.0,No,55.0,50.0,57.0,No,Low,15.0,10.0,2.645,Health Sciences,Medical Technology
9367,18.0,Female,41.0,Kinesthetic,16.0,Yes,88.0,58.0,64.0,Yes,Medium,4.0,9.0,3.41,Engineering,Electronic
9368,29.0,Male,18.0,Auditory,16.0,No,88.0,50.0,62.0,Yes,Low,15.0,10.0,3.19,Health Sciences,Nursing
9369,22.0,Male,7.0,Reading/Writing,1.0,No,52.0,67.0,83.0,Yes,Medium,5.0,8.0,3.285,Health Sciences,Public Health
9370,19.0,Male,27.0,Visual,2.0,No,70.0,44.0,88.0,No,Low,9.0,6.0,3.03,Health Sciences,Medical Technology
9371,26.0,Other,36.0,Reading/Writing,11.0,No,71.0,77.0,74.0,Yes,Low,1.0,8.0,3.73,Health Sciences,Public Health
9372,26.0,Female,32.0,Auditory,18.0,Yes,82.0,62.0,99.0,Yes,High,19.0,7.0,3.77,Business and Finance,Accountancy
9373,20.0,Female,14.0,Kinesthetic,13.0,Yes,88.0,68.0,75.0,Yes,Low,27.0,6.0,3.77,Engineering,Computer
9374,20.0,Male,46.0,Auditory,8.0,No,81.0,74.0,53.0,Yes,High,23.0,10.0,3.595,Business and Finance,Economics
9375,18.0,Female,25.0,Reading/Writing,3.0,Yes,66.0,98.0,53.0,No,Medium,20.0,6.0,3.97,Business and Finance,Entrepreneurship
9376,25.0,Female,37.0,Reading/Writing,2.0,Yes,79.0,52.0,93.0,No,Medium,16.0,5.0,3.415,Business and Finance,Economics
9377,22.0,Female,31.0,Reading/Writing,19.0,Yes,89.0,90.0,81.0,Yes,Low,11.0,5.0,4.395,Business and Finance,Business Administration
9378,29.0,Male,23.0,Auditory,16.0,Yes,81.0,96.0,88.0,No,Low,7.0,4.0,4.495,Health Sciences,Nursing
9379,23.0,Female,42.0,Reading/Writing,18.0,No,79.0,93.0,63.0,Yes,Medium,8.0,6.0,4.14,Engineering,Computer
9380,18.0,Male,22.0,Visual,0.0,Yes,97.0,73.0,56.0,No,Medium,16.0,7.0,3.84,Business and Finance,Business Administration
9381,19.0,Male,39.0,Auditory,10.0,Yes,80.0,83.0,73.0,Yes,High,10.0,10.0,4.005,Engineering,Mechanical
9382,23.0,Male,25.0,Auditory,14.0,Yes,77.0,88.0,81.0,Yes,Medium,10.0,6.0,4.165,Health Sciences,Pharmacy
9383,28.0,Male,16.0,Auditory,14.0,Yes,71.0,70.0,85.0,No,Low,17.0,4.0,3.665,Engineering,Computer
9384,22.0,Female,43.0,Visual,0.0,Yes,55.0,89.0,71.0,Yes,Medium,19.0,5.0,3.76,Business and Finance,Entrepreneurship
9385,19.0,Male,39.0,Visual,3.0,No,84.0,88.0,83.0,Yes,Low,17.0,4.0,4.29,Business and Finance,Accountancy
9386,18.0,Male,38.0,Auditory,11.0,Yes,98.0,71.0,95.0,Yes,Medium,3.0,7.0,4.195,Health Sciences,Nursing
9387,20.0,Male,29.0,Visual,18.0,No,87.0,81.0,97.0,Yes,Medium,24.0,4.0,4.3,Health Sciences,Public Health
9388,24.0,Male,17.0,Reading/Writing,1.0,No,58.0,85.0,57.0,Yes,Medium,7.0,10.0,3.565,Business and Finance,Entrepreneurship
9389,22.0,Female,39.0,Reading/Writing,6.0,No,53.0,47.0,58.0,Yes,Low,13.0,4.0,2.55,Business and Finance,Entrepreneurship
9390,20.0,Female,44.0,Visual,4.0,Yes,64.0,50.0,58.0,No,Medium,4.0,5.0,2.79,Engineering,Computer
9391,22.0,Male,6.0,Auditory,0.0,Yes,100.0,64.0,59.0,Yes,Low,10.0,6.0,3.69,Health Sciences,Pharmacy
9392,20.0,Male,18.0,Visual,20.0,No,81.0,67.0,54.0,No,High,16.0,9.0,3.43,Business and Finance,Accountancy
9393,22.0,Female,10.0,Kinesthetic,19.0,Yes,71.0,82.0,68.0,Yes,High,26.0,8.0,3.795,Engineering,Computer
9394,24.0,Female,27.0,Visual,19.0,Yes,65.0,62.0,79.0,Yes,Medium,4.0,6.0,3.315,Engineering,Mechanical
9395,21.0,Female,12.0,Auditory,19.0,Yes,94.0,54.0,57.0,Yes,Low,7.0,10.0,3.33,Engineering,Mechanical
9396,24.0,Female,28.0,Visual,19.0,Yes,81.0,66.0,64.0,Yes,Low,7.0,9.0,3.505,Engineering,Mechanical
9397,20.0,Male,42.0,Auditory,4.0,No,77.0,95.0,89.0,No,High,25.0,4.0,4.42,Health Sciences,Pharmacy
9398,22.0,Female,8.0,Auditory,10.0,Yes,77.0,72.0,71.0,Yes,Low,3.0,9.0,3.665,Health Sciences,Public Health
9399,24.0,Male,49.0,Auditory,12.0,No,91.0,75.0,86.0,Yes,Medium,17.0,9.0,4.1,Engineering,Electrical
9400,28.0,Male,14.0,Kinesthetic,4.0,Yes,81.0,72.0,73.0,Yes,Low,2.0,8.0,3.745,Engineering,Mechanical
9401,25.0,Male,41.0,Reading/Writing,9.0,Yes,88.0,49.0,100.0,Yes,High,11.0,4.0,3.545,Business and Finance,Business Administration
9402,19.0,Male,29.0,Reading/Writing,4.0,Yes,74.0,75.0,93.0,Yes,Low,2.0,4.0,3.915,Engineering,Mechanical
9403,22.0,Male,31.0,Auditory,12.0,No,97.0,79.0,71.0,No,Low,8.0,7.0,4.14,Health Sciences,Pharmacy
9404,20.0,Female,23.0,Reading/Writing,19.0,Yes,59.0,46.0,98.0,No,Medium,23.0,8.0,3.015,Engineering,Electrical
9405,21.0,Female,24.0,Reading/Writing,18.0,No,92.0,97.0,64.0,Yes,Medium,15.0,5.0,4.445,Engineering,Computer
9406,23.0,Female,15.0,Visual,10.0,Yes,50.0,44.0,59.0,Yes,Low,1.0,4.0,2.44,Business and Finance,Entrepreneurship
9407,24.0,Female,18.0,Visual,19.0,Yes,77.0,91.0,73.0,Yes,High,5.0,4.0,4.16,Business and Finance,Business Administration
9408,20.0,Female,47.0,Auditory,1.0,Yes,98.0,60.0,90.0,Yes,Medium,4.0,6.0,3.87,Engineering,Electrical
9409,24.0,Male,27.0,Reading/Writing,3.0,Yes,84.0,77.0,94.0,Yes,Medium,29.0,5.0,4.125,Engineering,Electronic
9410,21.0,Female,15.0,Kinesthetic,10.0,Yes,58.0,54.0,93.0,Yes,Low,5.0,8.0,3.15,Business and Finance,Business Administration
9413,22.0,Male,7.0,Reading/Writing,3.0,No,62.0,64.0,70.0,Yes,Medium,13.0,6.0,3.23,Health Sciences,Pharmacy
9414,19.0,Male,39.0,Visual,1.0,Yes,58.0,59.0,80.0,Yes,Low,1.0,6.0,3.145,Engineering,Computer
9415,27.0,Female,37.0,Visual,17.0,No,67.0,77.0,85.0,No,Medium,3.0,7.0,3.78,Engineering,Electrical
9416,29.0,Male,40.0,Visual,16.0,Yes,89.0,83.0,73.0,Yes,Medium,21.0,7.0,4.14,Engineering,Computer
9418,28.0,Male,5.0,Reading/Writing,8.0,Yes,65.0,66.0,85.0,Yes,Medium,16.0,7.0,3.475,Health Sciences,Nursing
9419,19.0,Male,30.0,Kinesthetic,17.0,No,88.0,90.0,84.0,Yes,Medium,29.0,5.0,4.41,Business and Finance,Accountancy
9421,21.0,Male,33.0,Visual,2.0,No,96.0,57.0,93.0,No,High,3.0,9.0,3.795,Health Sciences,Public Health
9422,18.0,Male,10.0,Kinesthetic,1.0,Yes,51.0,70.0,95.0,Yes,Medium,19.0,4.0,3.465,Health Sciences,Pharmacy
9423,24.0,Male,23.0,Kinesthetic,11.0,Yes,98.0,63.0,95.0,Yes,Medium,2.0,5.0,3.995,Engineering,Electrical
9424,18.0,Male,28.0,Auditory,5.0,No,94.0,45.0,74.0,No,Medium,13.0,7.0,3.275,Business and Finance,Business Administration
9425,21.0,Male,40.0,Kinesthetic,7.0,No,69.0,41.0,98.0,Yes,High,15.0,8.0,3.04,Health Sciences,Medical Technology
9426,22.0,Male,17.0,Kinesthetic,16.0,Yes,67.0,40.0,75.0,Yes,High,8.0,10.0,2.755,Health Sciences,Pharmacy
9427,23.0,Male,37.0,Visual,4.0,Yes,98.0,96.0,67.0,No,Low,22.0,6.0,4.54,Engineering,Computer
9428,26.0,Male,5.0,Reading/Writing,10.0,Yes,70.0,82.0,85.0,Yes,Medium,6.0,9.0,3.95,Health Sciences,Public Health
